show_id,content_types,title,director,cast,country,date_added,release_year,rating,duration,genres,description
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,Unknown,USA,"September 25, 2021",2020,Pg-13,90,Documentaries,"As Her Father Nears The End Of His Life, Filmmaker Kirsten Johnson Stages His Death In Inventive And Comical Ways To Help Them Both Face The Inevitable."
s2,TV Show,Blood & Water,Unknown,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",SA,"September 24, 2021",2021,Tv-Ma,2,"International Tv Shows, Tv Dramas, Tv Mysteries","After Crossing Paths At A Party, A Cape Town Teen Sets Out To Prove Whether A Private-School Swimming Star Is Her Sister Who Was Abducted At Birth."
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",Unknown,"September 24, 2021",2021,Tv-Ma,1,"Crime Tv Shows, International Tv Shows, Tv Action & Adventure","To Protect His Family From A Powerful Drug Lord, Skilled Thief Mehdi And His Expert Team Of Robbers Are Pulled Into A Violent And Deadly Turf War."
s4,TV Show,Jailbirds New Orleans,Unknown,Unknown,Unknown,"September 24, 2021",2021,Tv-Ma,1,"Docuseries, Reality Tv","Feuds, Flirtations And Toilet Talk Go Down Among The Incarcerated Women At The Orleans Justice Center In New Orleans On This Gritty Reality Series."
s5,TV Show,Kota Factory,Unknown,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,"September 24, 2021",2021,Tv-Ma,2,"International Tv Shows, Romantic Tv Shows, Tv Comedies","In A City Of Coaching Centers Known To Train India’S Finest Collegiate Minds, An Earnest But Unexceptional Student And His Friends Navigate Campus Life."
s6,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",Unknown,"September 24, 2021",2021,Tv-Ma,1,"Tv Dramas, Tv Horror, Tv Mysteries","The Arrival Of A Charismatic Young Priest Brings Glorious Miracles, Ominous Mysteries And Renewed Religious Fervor To A Dying Town Desperate To Believe."
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael Mckean, Phil Lamarr",Unknown,"September 24, 2021",2021,Pg,91,Children & Family Movies,"Equestria'S Divided. But A Bright-Eyed Hero Believes Earth Ponies, Pegasi And Unicorns Should Be Pals — And, Hoof To Heart, She’S Determined To Prove It."
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,Tv-Ma,125,"Dramas, Independent Movies, International Movies","On A Photo Shoot In Ghana, An American Model Slips Back In Time, Becomes Enslaved On A Plantation And Bears Witness To The Agony Of Her Ancestral Past."
s9,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",UK,"September 24, 2021",2021,Tv-14,9,"British Tv Shows, Reality Tv","A Talented Batch Of Amateur Bakers Face Off In A 10-Week Competition, Whipping Up Their Best Dishes In The Hopes Of Being Named The U.K.'S Best."
s10,Movie,The Starling,Theodore Melfi,"Melissa Mccarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",USA,"September 24, 2021",2021,Pg-13,104,"Comedies, Dramas",A Woman Adjusting To Life After A Loss Contends With A Feisty Bird That'S Taken Over Her Garden — And A Husband Who'S Struggling To Find A Way Forward.
